window_id	count	hetA	fixed	hetB	hetAB
chr18_16018012_16029340	1	2	3	2	0
chr18_16018012_16029340	1	1	1	3	1
chr18_16018012_16029340	1	3	3	2	0
chr18_16018012_16029340	1	1	1	2	2
chr18_16018012_16029340	1	3	0	3	0
chr18_16020601_16029990	635	0	0	0	0
chr18_16020601_16029990	301	0	1	0	0
chr18_16020601_16029990	297	0	0	1	0
chr18_16020601_16029990	282	1	0	0	0
chr18_16020601_16029990	257	0	0	2	0
chr18_16020601_16029990	227	0	2	0	0
chr18_16020601_16029990	195	1	1	0	0
chr18_16020601_16029990	149	1	0	1	0
chr18_16020601_16029990	117	0	0	3	0
chr18_16020601_16029990	117	0	3	0	0
chr18_16020601_16029990	115	2	0	0	0
chr18_16020601_16029990	93	1	2	0	0
chr18_16020601_16029990	64	0	0	0	1
chr18_16020601_16029990	64	0	1	1	0
chr18_16020601_16029990	63	2	2	0	0
chr18_16020601_16029990	57	1	0	2	0
chr18_16020601_16029990	54	1	1	1	0
chr18_16020601_16029990	51	1	3	0	0
chr18_16020601_16029990	46	1	0	3	0
chr18_16020601_16029990	38	2	1	0	0
chr18_16020601_16029990	37	0	0	4	0
chr18_16020601_16029990	35	2	0	1	0
chr18_16020601_16029990	31	3	1	0	0
chr18_16020601_16029990	28	0	2	1	0
chr18_16020601_16029990	27	0	3	1	0
chr18_16020601_16029990	26	1	0	0	1
chr18_16020601_16029990	25	0	4	0	0
chr18_16020601_16029990	23	0	0	1	1
chr18_16020601_16029990	21	3	0	0	0
chr18_16020601_16029990	21	1	3	1	0
chr18_16020601_16029990	18	3	0	1	0
chr18_16020601_16029990	18	4	0	0	0
chr18_16020601_16029990	18	2	1	1	0
chr18_16020601_16029990	17	0	1	3	0
chr18_16020601_16029990	17	0	0	3	1
chr18_16020601_16029990	16	4	0	1	0
chr18_16020601_16029990	16	0	5	1	0
chr18_16020601_16029990	15	0	0	5	0
chr18_16020601_16029990	13	1	1	2	0
chr18_16020601_16029990	12	0	1	2	0
chr18_16020601_16029990	12	0	5	0	0
chr18_16020601_16029990	11	0	0	2	1
chr18_16020601_16029990	11	2	0	2	0
chr18_16020601_16029990	10	6	2	0	0
chr18_16020601_16029990	9	1	0	4	0
chr18_16020601_16029990	9	2	0	3	0
chr18_16020601_16029990	8	4	1	0	0
chr18_16020601_16029990	8	1	2	1	0
chr18_16020601_16029990	8	2	1	2	0
chr18_16020601_16029990	8	3	4	0	0
chr18_16020601_16029990	8	3	4	1	0
chr18_16020601_16029990	7	0	3	2	0
chr18_16020601_16029990	7	1	0	2	1
chr18_16020601_16029990	6	1	0	1	2
chr18_16020601_16029990	6	1	4	0	0
chr18_16020601_16029990	6	1	0	5	0
chr18_16020601_16029990	6	1	3	2	0
chr18_16020601_16029990	6	0	2	3	0
chr18_16020601_16029990	6	2	5	0	0
chr18_16020601_16029990	6	3	2	0	0
chr18_16020601_16029990	6	3	2	1	0
chr18_16020601_16029990	6	2	2	1	0
chr18_16020601_16029990	5	3	0	2	0
chr18_16020601_16029990	5	2	3	0	0
chr18_16020601_16029990	5	5	2	0	0
chr18_16020601_16029990	5	1	0	1	1
chr18_16020601_16029990	4	0	0	1	3
chr18_16020601_16029990	4	1	0	3	1
chr18_16020601_16029990	4	0	0	1	2
chr18_16020601_16029990	4	6	1	1	0
chr18_16020601_16029990	4	6	0	2	0
chr18_16020601_16029990	4	2	0	4	0
chr18_16020601_16029990	4	0	0	3	2
chr18_16020601_16029990	4	0	4	1	0
chr18_16020601_16029990	4	1	5	0	0
chr18_16020601_16029990	4	2	0	5	0
chr18_16020601_16029990	4	2	5	1	0
chr18_16020601_16029990	4	2	0	4	1
chr18_16020601_16029990	4	1	1	3	0
chr18_16020601_16029990	3	3	0	0	1
chr18_16020601_16029990	3	1	2	3	0
chr18_16020601_16029990	3	3	1	1	0
chr18_16020601_16029990	3	2	0	3	1
chr18_16020601_16029990	3	4	4	0	0
chr18_16020601_16029990	3	1	6	0	0
chr18_16020601_16029990	3	1	6	1	0
chr18_16020601_16029990	3	2	3	1	0
chr18_16020601_16029990	3	1	1	3	1
chr18_16020601_16029990	3	3	3	0	0
chr18_16020601_16029990	3	3	3	1	0
chr18_16020601_16029990	3	2	0	0	1
chr18_16020601_16029990	2	1	0	1	3
chr18_16020601_16029990	2	6	0	0	0
chr18_16020601_16029990	2	5	1	1	0
chr18_16020601_16029990	2	5	0	2	0
chr18_16020601_16029990	2	0	1	0	1
chr18_16020601_16029990	2	3	0	4	1
chr18_16020601_16029990	2	4	4	1	0
chr18_16020601_16029990	2	0	1	3	1
chr18_16020601_16029990	2	3	2	2	0
chr18_16020601_16029990	2	2	0	2	1
chr18_16020601_16029990	2	2	2	2	0
chr18_16020601_16029990	2	1	0	4	1
chr18_16020601_16029990	1	3	0	1	1
chr18_16020601_16029990	1	1	0	0	3
chr18_16020601_16029990	1	1	0	0	2
chr18_16020601_16029990	1	5	0	0	0
chr18_16020601_16029990	1	3	0	3	1
chr18_16020601_16029990	1	0	0	4	1
chr18_16020601_16029990	1	0	0	2	3
chr18_16020601_16029990	1	0	0	0	2
chr18_16020601_16029990	1	1	6	2	0
chr18_16020601_16029990	1	1	2	4	0
chr18_16020601_16029990	1	1	3	3	0
chr18_16020601_16029990	1	0	1	2	1
chr18_16020601_16029990	1	2	3	2	0
chr18_16020601_16029990	1	3	3	2	0
chr18_16020601_16029990	1	1	1	2	2
chr18_16020601_16029990	1	3	0	3	0
chr18_16020601_16029990	1	0	0	2	2
chr18_16020601_16029990	1	0	1	3	2
chr18_16020601_16029990	1	1	1	1	1
chr18_16020601_16029990	1	1	1	4	0
chr18_16021241_16031816	495	0	0	0	0
chr18_16021241_16031816	311	0	1	0	0
chr18_16021241_16031816	307	0	0	1	0
chr18_16021241_16031816	262	1	0	0	0
chr18_16021241_16031816	212	1	1	0	0
chr18_16021241_16031816	205	0	2	0	0
chr18_16021241_16031816	161	1	0	1	0
chr18_16021241_16031816	161	0	0	2	0
chr18_16021241_16031816	125	2	0	0	0
chr18_16021241_16031816	114	0	3	0	0
chr18_16021241_16031816	93	1	2	0	0
chr18_16021241_16031816	90	0	0	3	0
chr18_16021241_16031816	65	2	2	0	0
chr18_16021241_16031816	58	0	0	0	1
chr18_16021241_16031816	57	1	0	2	0
chr18_16021241_16031816	55	1	1	1	0
chr18_16021241_16031816	51	1	3	0	0
chr18_16021241_16031816	48	2	0	1	0
chr18_16021241_16031816	47	2	1	0	0
chr18_16021241_16031816	45	0	1	1	0
chr18_16021241_16031816	37	1	0	3	0
chr18_16021241_16031816	37	0	2	1	0
chr18_16021241_16031816	36	3	0	0	0
chr18_16021241_16031816	27	4	0	0	0
chr18_16021241_16031816	26	3	1	0	0
chr18_16021241_16031816	23	1	0	0	1
chr18_16021241_16031816	23	1	3	1	0
chr18_16021241_16031816	23	2	1	1	0
chr18_16021241_16031816	21	4	0	1	0
chr18_16021241_16031816	21	0	3	1	0
chr18_16021241_16031816	19	0	1	2	0
chr18_16021241_16031816	18	1	1	2	0
chr18_16021241_16031816	17	0	0	4	0
chr18_16021241_16031816	17	0	4	0	0
chr18_16021241_16031816	16	0	0	1	1
chr18_16021241_16031816	16	2	0	2	0
chr18_16021241_16031816	16	0	5	1	0
chr18_16021241_16031816	15	0	0	5	0
chr18_16021241_16031816	14	3	0	1	0
chr18_16021241_16031816	14	1	0	1	1
chr18_16021241_16031816	12	0	0	3	1
chr18_16021241_16031816	12	0	5	0	0
chr18_16021241_16031816	11	2	0	3	0
chr18_16021241_16031816	10	4	1	0	0
chr18_16021241_16031816	10	0	0	2	1
chr18_16021241_16031816	10	6	2	0	0
chr18_16021241_16031816	9	2	1	2	0
chr18_16021241_16031816	9	2	0	0	1
chr18_16021241_16031816	8	1	2	1	0
chr18_16021241_16031816	8	6	0	0	0
chr18_16021241_16031816	8	3	4	0	0
chr18_16021241_16031816	8	3	4	1	0
chr18_16021241_16031816	7	1	0	4	0
chr18_16021241_16031816	7	0	3	2	0
chr18_16021241_16031816	7	1	0	2	1
chr18_16021241_16031816	6	1	0	3	1
chr18_16021241_16031816	6	1	4	0	0
chr18_16021241_16031816	6	1	0	5	0
chr18_16021241_16031816	6	1	3	2	0
chr18_16021241_16031816	6	0	2	3	0
chr18_16021241_16031816	6	2	5	0	0
chr18_16021241_16031816	6	3	2	0	0
chr18_16021241_16031816	6	3	2	1	0
chr18_16021241_16031816	6	2	2	1	0
chr18_16021241_16031816	6	0	2	2	0
chr18_16021241_16031816	5	2	3	0	0
chr18_16021241_16031816	5	5	2	0	0
chr18_16021241_16031816	4	0	0	1	2
chr18_16021241_16031816	4	6	1	1	0
chr18_16021241_16031816	4	6	0	2	0
chr18_16021241_16031816	4	2	0	4	0
chr18_16021241_16031816	4	0	0	3	2
chr18_16021241_16031816	4	3	0	2	0
chr18_16021241_16031816	4	0	4	1	0
chr18_16021241_16031816	4	1	5	0	0
chr18_16021241_16031816	4	2	0	5	0
chr18_16021241_16031816	4	2	5	1	0
chr18_16021241_16031816	4	2	0	4	1
chr18_16021241_16031816	4	1	1	3	0
chr18_16021241_16031816	4	0	1	3	0
chr18_16021241_16031816	4	3	0	0	1
chr18_16021241_16031816	3	1	2	3	0
chr18_16021241_16031816	3	3	1	1	0
chr18_16021241_16031816	3	5	0	0	0
chr18_16021241_16031816	3	2	0	3	1
chr18_16021241_16031816	3	4	4	0	0
chr18_16021241_16031816	3	1	6	0	0
chr18_16021241_16031816	3	1	6	1	0
chr18_16021241_16031816	3	2	0	2	1
chr18_16021241_16031816	3	2	3	1	0
chr18_16021241_16031816	3	1	1	3	1
chr18_16021241_16031816	3	3	3	0	0
chr18_16021241_16031816	3	3	3	1	0
chr18_16021241_16031816	3	2	0	1	1
chr18_16021241_16031816	3	1	0	0	3
chr18_16021241_16031816	3	0	0	0	3
chr18_16021241_16031816	3	3	0	1	2
chr18_16021241_16031816	2	1	0	0	2
chr18_16021241_16031816	2	1	0	1	2
chr18_16021241_16031816	2	5	1	1	0
chr18_16021241_16031816	2	5	0	2	0
chr18_16021241_16031816	2	0	1	0	1
chr18_16021241_16031816	2	3	0	4	1
chr18_16021241_16031816	2	4	4	1	0
chr18_16021241_16031816	2	0	0	0	2
chr18_16021241_16031816	2	0	1	3	1
chr18_16021241_16031816	2	3	2	2	0
chr18_16021241_16031816	2	2	2	2	0
chr18_16021241_16031816	2	1	0	4	1
chr18_16021241_16031816	2	1	0	2	2
chr18_16021241_16031816	2	5	1	0	0
chr18_16021241_16031816	2	6	0	1	0
chr18_16021241_16031816	1	1	0	1	3
chr18_16021241_16031816	1	3	0	3	1
chr18_16021241_16031816	1	0	0	4	1
chr18_16021241_16031816	1	0	0	2	3
chr18_16021241_16031816	1	1	6	2	0
chr18_16021241_16031816	1	1	2	4	0
chr18_16021241_16031816	1	1	3	3	0
chr18_16021241_16031816	1	0	1	2	1
chr18_16021241_16031816	1	2	3	2	0
chr18_16021241_16031816	1	3	3	2	0
chr18_16021241_16031816	1	1	1	2	2
chr18_16021241_16031816	1	3	0	3	0
chr18_16021241_16031816	1	0	0	2	2
chr18_16021241_16031816	1	0	1	3	2
chr18_16021241_16031816	1	1	1	1	1
chr18_16021241_16031816	1	1	1	4	0
chr18_16021241_16031816	1	0	1	2	2
chr18_16021241_16031816	1	0	1	4	0
chr18_16021241_16031816	1	4	0	2	0
chr18_16021241_16031816	1	2	0	2	2
chr18_16028059_16032457	555	0	0	0	0
chr18_16028059_16032457	362	0	1	0	0
chr18_16028059_16032457	324	0	0	1	0
chr18_16028059_16032457	271	1	0	0	0
chr18_16028059_16032457	194	0	2	0	0
chr18_16028059_16032457	178	1	1	0	0
chr18_16028059_16032457	164	1	0	1	0
chr18_16028059_16032457	159	0	0	2	0
chr18_16028059_16032457	127	2	0	0	0
chr18_16028059_16032457	109	0	3	0	0
chr18_16028059_16032457	89	1	2	0	0
chr18_16028059_16032457	76	0	0	3	0
chr18_16028059_16032457	65	2	2	0	0
chr18_16028059_16032457	61	1	3	0	0
chr18_16028059_16032457	59	1	1	1	0
chr18_16028059_16032457	59	0	1	1	0
chr18_16028059_16032457	56	0	0	0	1
chr18_16028059_16032457	55	1	0	2	0
chr18_16028059_16032457	51	2	0	1	0
chr18_16028059_16032457	50	2	1	0	0
chr18_16028059_16032457	47	3	0	0	0
chr18_16028059_16032457	37	0	2	1	0
chr18_16028059_16032457	34	3	1	0	0
chr18_16028059_16032457	29	1	0	3	0
chr18_16028059_16032457	28	2	1	1	0
chr18_16028059_16032457	27	0	3	1	0
chr18_16028059_16032457	23	1	3	1	0
chr18_16028059_16032457	23	1	0	0	1
chr18_16028059_16032457	20	2	0	2	0
chr18_16028059_16032457	19	3	0	1	0
chr18_16028059_16032457	19	1	1	2	0
chr18_16028059_16032457	19	0	1	2	0
chr18_16028059_16032457	18	0	0	4	0
chr18_16028059_16032457	18	4	0	0	0
chr18_16028059_16032457	16	0	0	1	1
chr18_16028059_16032457	16	0	5	1	0
chr18_16028059_16032457	14	1	0	1	1
chr18_16028059_16032457	14	4	1	0	0
chr18_16028059_16032457	14	0	2	2	0
chr18_16028059_16032457	13	2	0	1	1
chr18_16028059_16032457	12	0	0	3	1
chr18_16028059_16032457	12	0	5	0	0
chr18_16028059_16032457	12	0	4	0	0
chr18_16028059_16032457	11	2	1	2	0
chr18_16028059_16032457	10	0	0	2	1
chr18_16028059_16032457	10	6	2	0	0
chr18_16028059_16032457	10	5	0	0	0
chr18_16028059_16032457	10	4	0	1	0
chr18_16028059_16032457	10	0	0	5	0
chr18_16028059_16032457	9	2	0	0	1
chr18_16028059_16032457	8	1	0	4	0
chr18_16028059_16032457	8	6	0	0	0
chr18_16028059_16032457	8	3	4	0	0
chr18_16028059_16032457	8	3	4	1	0
chr18_16028059_16032457	7	1	2	1	0
chr18_16028059_16032457	7	1	0	2	1
chr18_16028059_16032457	7	3	2	0	0
chr18_16028059_16032457	6	2	5	0	0
chr18_16028059_16032457	6	1	3	2	0
chr18_16028059_16032457	6	3	2	1	0
chr18_16028059_16032457	6	2	2	1	0
chr18_16028059_16032457	6	2	0	3	0
chr18_16028059_16032457	6	0	1	3	0
chr18_16028059_16032457	6	5	1	0	0
chr18_16028059_16032457	5	0	0	1	2
chr18_16028059_16032457	5	5	2	0	0
chr18_16028059_16032457	5	0	0	3	2
chr18_16028059_16032457	5	1	1	3	0
chr18_16028059_16032457	5	1	0	0	2
chr18_16028059_16032457	4	3	1	1	0
chr18_16028059_16032457	4	6	1	1	0
chr18_16028059_16032457	4	6	0	2	0
chr18_16028059_16032457	4	2	0	4	0
chr18_16028059_16032457	4	3	0	2	0
chr18_16028059_16032457	4	2	0	3	1
chr18_16028059_16032457	4	0	4	1	0
chr18_16028059_16032457	4	1	5	0	0
chr18_16028059_16032457	4	2	0	5	0
chr18_16028059_16032457	4	2	5	1	0
chr18_16028059_16032457	4	2	0	4	1
chr18_16028059_16032457	4	0	0	0	2
chr18_16028059_16032457	4	1	0	3	1
chr18_16028059_16032457	4	3	0	0	1
chr18_16028059_16032457	4	7	0	0	0
chr18_16028059_16032457	3	5	1	1	0
chr18_16028059_16032457	3	1	0	5	0
chr18_16028059_16032457	3	4	4	0	0
chr18_16028059_16032457	3	1	6	0	0
chr18_16028059_16032457	3	1	6	1	0
chr18_16028059_16032457	3	2	0	2	1
chr18_16028059_16032457	3	2	3	0	0
chr18_16028059_16032457	3	2	3	1	0
chr18_16028059_16032457	3	1	1	3	1
chr18_16028059_16032457	3	3	3	0	0
chr18_16028059_16032457	3	3	3	1	0
chr18_16028059_16032457	3	0	0	2	2
chr18_16028059_16032457	3	1	0	0	3
chr18_16028059_16032457	3	0	0	0	3
chr18_16028059_16032457	3	3	0	1	2
chr18_16028059_16032457	3	0	3	2	0
chr18_16028059_16032457	3	4	1	1	0
chr18_16028059_16032457	3	4	2	0	0
chr18_16028059_16032457	3	4	0	0	1
chr18_16028059_16032457	3	5	0	1	0
chr18_16028059_16032457	2	1	0	1	2
chr18_16028059_16032457	2	5	0	2	0
chr18_16028059_16032457	2	0	1	0	1
chr18_16028059_16032457	2	0	0	4	1
chr18_16028059_16032457	2	3	0	4	1
chr18_16028059_16032457	2	4	4	1	0
chr18_16028059_16032457	2	0	1	3	1
chr18_16028059_16032457	2	3	2	2	0
chr18_16028059_16032457	2	2	2	2	0
chr18_16028059_16032457	2	1	0	4	1
chr18_16028059_16032457	2	1	0	2	2
chr18_16028059_16032457	2	6	0	1	0
chr18_16028059_16032457	2	4	3	0	0
chr18_16028059_16032457	2	0	1	5	0
chr18_16028059_16032457	2	0	0	1	3
chr18_16028059_16032457	2	5	0	0	2
chr18_16028059_16032457	2	1	1	0	1
chr18_16028059_16032457	2	0	1	1	1
chr18_16028059_16032457	1	1	0	1	3
chr18_16028059_16032457	1	3	0	3	1
chr18_16028059_16032457	1	0	0	2	3
chr18_16028059_16032457	1	1	6	2	0
chr18_16028059_16032457	1	1	2	4	0
chr18_16028059_16032457	1	1	3	3	0
chr18_16028059_16032457	1	0	1	2	1
chr18_16028059_16032457	1	2	3	2	0
chr18_16028059_16032457	1	3	3	2	0
chr18_16028059_16032457	1	1	1	2	2
chr18_16028059_16032457	1	3	0	3	0
chr18_16028059_16032457	1	0	1	3	2
chr18_16028059_16032457	1	1	1	1	1
chr18_16028059_16032457	1	1	1	4	0
chr18_16028059_16032457	1	0	1	2	2
chr18_16028059_16032457	1	0	1	4	0
chr18_16028059_16032457	1	4	0	2	0
chr18_16028059_16032457	1	2	0	2	2
chr18_16028059_16032457	1	4	2	1	0
chr18_16028059_16032457	1	1	1	1	2
chr18_16028059_16032457	1	3	0	5	0
chr18_16028059_16032457	1	1	1	5	0
chr18_16028059_16032457	1	4	0	1	3
chr18_16028059_16032457	1	4	1	0	1
chr18_16028700_16034282	566	0	0	0	0
chr18_16028700_16034282	437	1	0	0	0
chr18_16028700_16034282	348	0	1	0	0
chr18_16028700_16034282	339	0	0	1	0
chr18_16028700_16034282	198	1	0	1	0
chr18_16028700_16034282	183	2	0	0	0
chr18_16028700_16034282	174	1	1	0	0
chr18_16028700_16034282	159	0	2	0	0
chr18_16028700_16034282	147	0	0	2	0
chr18_16028700_16034282	88	0	0	0	1
chr18_16028700_16034282	73	0	3	0	0
chr18_16028700_16034282	72	0	0	3	0
chr18_16028700_16034282	67	2	0	1	0
chr18_16028700_16034282	66	3	0	0	0
chr18_16028700_16034282	58	2	2	0	0
chr18_16028700_16034282	48	1	2	0	0
chr18_16028700_16034282	47	2	1	0	0
chr18_16028700_16034282	46	1	1	1	0
chr18_16028700_16034282	41	0	1	1	0
chr18_16028700_16034282	38	1	0	2	0
chr18_16028700_16034282	35	1	3	0	0
chr18_16028700_16034282	29	1	0	0	1
chr18_16028700_16034282	29	0	2	1	0
chr18_16028700_16034282	24	4	0	0	0
chr18_16028700_16034282	23	3	0	1	0
chr18_16028700_16034282	20	0	0	4	0
chr18_16028700_16034282	19	3	1	0	0
chr18_16028700_16034282	18	1	0	3	0
chr18_16028700_16034282	18	2	0	2	0
chr18_16028700_16034282	17	1	1	2	0
chr18_16028700_16034282	17	2	0	1	1
chr18_16028700_16034282	16	2	1	1	0
chr18_16028700_16034282	16	0	5	1	0
chr18_16028700_16034282	15	2	0	0	1
chr18_16028700_16034282	14	4	1	0	0
chr18_16028700_16034282	14	0	2	2	0
chr18_16028700_16034282	13	0	0	3	1
chr18_16028700_16034282	12	4	0	1	0
chr18_16028700_16034282	12	0	5	0	0
chr18_16028700_16034282	12	0	4	0	0
chr18_16028700_16034282	12	1	0	1	1
chr18_16028700_16034282	12	5	0	0	0
chr18_16028700_16034282	12	0	3	1	0
chr18_16028700_16034282	11	2	1	2	0
chr18_16028700_16034282	11	0	1	2	0
chr18_16028700_16034282	11	0	0	1	1
chr18_16028700_16034282	11	1	3	1	0
chr18_16028700_16034282	10	0	0	5	0
chr18_16028700_16034282	10	1	0	2	1
chr18_16028700_16034282	9	1	0	4	0
chr18_16028700_16034282	9	2	0	3	0
chr18_16028700_16034282	9	6	0	0	0
chr18_16028700_16034282	8	3	4	0	0
chr18_16028700_16034282	8	3	4	1	0
chr18_16028700_16034282	8	1	0	3	1
chr18_16028700_16034282	7	3	2	0	0
chr18_16028700_16034282	6	2	5	0	0
chr18_16028700_16034282	6	1	3	2	0
chr18_16028700_16034282	6	3	2	1	0
chr18_16028700_16034282	6	2	2	1	0
chr18_16028700_16034282	6	3	3	0	0
chr18_16028700_16034282	6	0	1	3	0
chr18_16028700_16034282	6	5	1	0	0
chr18_16028700_16034282	6	3	0	0	1
chr18_16028700_16034282	5	2	0	4	0
chr18_16028700_16034282	5	0	0	3	2
chr18_16028700_16034282	5	1	1	3	0
chr18_16028700_16034282	5	0	0	2	1
chr18_16028700_16034282	5	1	0	0	2
chr18_16028700_16034282	4	3	0	2	0
chr18_16028700_16034282	4	2	0	3	1
chr18_16028700_16034282	4	0	4	1	0
chr18_16028700_16034282	4	1	5	0	0
chr18_16028700_16034282	4	2	0	5	0
chr18_16028700_16034282	4	2	5	1	0
chr18_16028700_16034282	4	2	0	4	1
chr18_16028700_16034282	4	0	0	0	2
chr18_16028700_16034282	4	3	0	3	0
chr18_16028700_16034282	4	1	0	2	2
chr18_16028700_16034282	4	7	0	0	0
chr18_16028700_16034282	4	4	0	0	1
chr18_16028700_16034282	4	5	0	1	0
chr18_16028700_16034282	4	3	0	1	1
chr18_16028700_16034282	3	1	0	5	0
chr18_16028700_16034282	3	4	4	0	0
chr18_16028700_16034282	3	1	6	0	0
chr18_16028700_16034282	3	1	6	1	0
chr18_16028700_16034282	3	2	0	2	1
chr18_16028700_16034282	3	2	3	0	0
chr18_16028700_16034282	3	2	3	1	0
chr18_16028700_16034282	3	1	1	3	1
chr18_16028700_16034282	3	3	3	1	0
chr18_16028700_16034282	3	0	0	2	2
chr18_16028700_16034282	3	1	0	0	3
chr18_16028700_16034282	3	0	0	0	3
chr18_16028700_16034282	3	3	0	1	2
chr18_16028700_16034282	3	0	3	2	0
chr18_16028700_16034282	3	2	0	2	2
chr18_16028700_16034282	3	4	1	1	0
chr18_16028700_16034282	3	4	2	0	0
chr18_16028700_16034282	3	4	0	1	2
chr18_16028700_16034282	3	6	1	0	0
chr18_16028700_16034282	2	0	0	4	1
chr18_16028700_16034282	2	3	0	4	1
chr18_16028700_16034282	2	4	4	1	0
chr18_16028700_16034282	2	0	1	3	1
chr18_16028700_16034282	2	3	2	2	0
chr18_16028700_16034282	2	2	2	2	0
chr18_16028700_16034282	2	1	0	4	1
chr18_16028700_16034282	2	1	1	4	0
chr18_16028700_16034282	2	6	0	1	0
chr18_16028700_16034282	2	4	3	0	0
